participant_id,sample_id,groove_quality,coherence,variety,comment,raw_reward,participant_mean_raw_reward,participant_std_raw_reward,participant_norm_reward
4-9-2026_16:50:11,transformer_sample_1,3,4,3,,1.3333333333333333,1.5466666666666666,0.2776444124290752,-0.7683689056333153
4-9-2026_17:54:55,transformer_sample_1,3,3,2,,1.2333333333333332,1.3866666666666665,0.24251765876903655,-0.6322563648008883
4-9-2026_19:12:25,transformer_sample_1,4,5,5,,1.8333333333333333,1.21,0.36313110240086044,1.716551761091606
4-13-2026_13:28:24,transformer_sample_1,4,3,3,,1.6333333333333335,1.8133333333333332,0.28897434633459446,-0.6228926625603758
4-13-2026_13:31:35,transformer_sample_1,4,2,2,,1.5333333333333334,1.7833333333333337,0.3411129207335278,-0.732895134732514
4-13-2026_13:34:18,transformer_sample_1,3,4,3,,1.3333333333333333,1.6300000000000001,0.29749987031846953,-0.9971993142352945
4-13-2026_13:36:05,transformer_sample_1,4,3,3,,1.6333333333333335,1.8,0.2788866755113585,-0.5976143046671963
4-13-2026_13:45:45,transformer_sample_1,4,3,3,,1.6333333333333335,1.81,0.24039576422389416,-0.7348992493150872
4-13-2026_13:48:11,transformer_sample_1,3,3,2,,1.2333333333333332,1.5366666666666666,0.3171828152211355,-0.956335963919904
4-13-2026_13:49:35,transformer_sample_1,3,2,2,,1.2,1.8166666666666669,0.2902744550580695,-2.1244262315238953
4-9-2026_16:50:11,transformer_sample_2,4,3,3,,1.6333333333333335,1.5466666666666666,0.2776444124290752,0.3121498679135351
4-9-2026_17:54:55,transformer_sample_2,3,2,2,,1.2,1.3866666666666665,0.24251765876903655,-0.7697034006271679
4-9-2026_19:12:25,transformer_sample_2,3,4,4,,1.4000000000000001,1.21,0.36313110240086044,0.5232270073915596
4-13-2026_13:28:24,transformer_sample_2,5,5,1,,1.9000000000000001,1.8133333333333332,0.28897434633459446,0.2999112819735155
4-13-2026_13:31:35,transformer_sample_2,5,4,2,,1.9333333333333336,1.7833333333333337,0.3411129207335278,0.43973708083950774
4-13-2026_13:34:18,transformer_sample_2,5,2,2,,1.866666666666667,1.6300000000000001,0.29749987031846953,0.7955185540528753
4-13-2026_13:36:05,transformer_sample_2,5,4,1,,1.866666666666667,1.8,0.2788866755113585,0.2390457218668795
4-13-2026_13:45:45,transformer_sample_2,5,5,2,,1.9666666666666668,1.81,0.24039576422389416,0.6517031078831913
4-13-2026_13:48:11,transformer_sample_2,5,3,2,,1.9000000000000001,1.5366666666666666,0.3171828152211355,1.1455013194205446
4-13-2026_13:49:35,transformer_sample_2,5,4,2,,1.9333333333333336,1.8166666666666669,0.2902744550580695,0.4019184762342504
4-9-2026_16:50:11,transformer_sample_3,2,4,3,,1.0,1.5466666666666666,0.2776444124290752,-1.96894532068537
4-9-2026_17:54:55,transformer_sample_3,3,3,2,,1.2333333333333332,1.3866666666666665,0.24251765876903655,-0.6322563648008883
4-9-2026_19:12:25,transformer_sample_3,2,4,2,,0.9333333333333332,1.21,0.36313110240086044,-0.7618919581315686
4-13-2026_13:28:24,transformer_sample_3,5,4,3,,2.0,1.8133333333333332,0.28897434633459446,0.6459627611737244
4-13-2026_13:31:35,transformer_sample_3,5,4,3,,2.0,1.7833333333333337,0.3411129207335278,0.6351757834348439
4-13-2026_13:34:18,transformer_sample_3,2,4,3,,1.0,1.6300000000000001,0.29749987031846953,-2.1176479819153995
4-13-2026_13:36:05,transformer_sample_3,5,3,3,,1.9666666666666668,1.8,0.2788866755113585,0.5976143046671971
4-13-2026_13:45:45,transformer_sample_3,5,4,3,,2.0,1.81,0.24039576422389416,0.7903633436030187
4-13-2026_13:48:11,transformer_sample_3,3,3,3,,1.3,1.5366666666666666,0.3171828152211355,-0.7461522355858586
4-13-2026_13:49:35,transformer_sample_3,5,4,3,,2.0,1.8166666666666669,0.2902744550580695,0.6315861769395356
4-9-2026_16:50:11,transformer_sample_4,4,3,5,,1.7666666666666666,1.5466666666666666,0.2776444124290752,0.7923804339343562
4-9-2026_17:54:55,transformer_sample_4,3,3,2,,1.2333333333333332,1.3866666666666665,0.24251765876903655,-0.6322563648008883
4-9-2026_19:12:25,transformer_sample_4,2,3,2,,0.8999999999999999,1.21,0.36313110240086044,-0.8536861699546492
4-13-2026_13:28:24,transformer_sample_4,5,5,4,,2.1,1.8133333333333332,0.28897434633459446,0.992014240373934
4-13-2026_13:31:35,transformer_sample_4,5,5,4,,2.1,1.7833333333333337,0.3411129207335278,0.9283338373278496
4-13-2026_13:34:18,transformer_sample_4,4,3,5,,1.7666666666666666,1.6300000000000001,0.29749987031846953,0.45938395374884267
4-13-2026_13:36:05,transformer_sample_4,5,5,4,,2.1,1.8,0.2788866755113585,1.0757057484009545
4-13-2026_13:45:45,transformer_sample_4,5,5,4,,2.1,1.81,0.24039576422389416,1.2063440507625027
4-13-2026_13:48:11,transformer_sample_4,3,3,2,,1.2333333333333332,1.5366666666666666,0.3171828152211355,-0.956335963919904
4-13-2026_13:49:35,transformer_sample_4,5,5,4,,2.1,1.8166666666666669,0.2902744550580695,0.9760877279974647
4-9-2026_16:50:11,transformer_sample_5,4,4,4,,1.7333333333333334,1.5466666666666666,0.2776444124290752,0.672322792429151
4-9-2026_17:54:55,transformer_sample_5,4,4,3,,1.6666666666666667,1.3866666666666665,0.24251765876903655,1.1545551009407538
4-9-2026_19:12:25,transformer_sample_5,3,4,3,,1.3333333333333333,1.21,0.36313110240086044,0.3396385837453979
4-13-2026_13:28:24,transformer_sample_5,4,2,1,,1.4666666666666668,1.8133333333333332,0.28897434633459446,-1.1996451278940583
4-13-2026_13:31:35,transformer_sample_5,4,3,2,,1.5666666666666667,1.7833333333333337,0.3411129207335278,-0.6351757834348459
4-13-2026_13:34:18,transformer_sample_5,4,4,3,,1.6666666666666667,1.6300000000000001,0.29749987031846953,0.12324935344481146
4-13-2026_13:36:05,transformer_sample_5,4,2,1,,1.4666666666666668,1.8,0.2788866755113585,-1.1952286093343936
4-13-2026_13:45:45,transformer_sample_5,4,3,3,,1.6333333333333335,1.81,0.24039576422389416,-0.7348992493150872
4-13-2026_13:48:11,transformer_sample_5,5,4,3,,2.0,1.5366666666666666,0.3171828152211355,1.4607769119216114
4-13-2026_13:49:35,transformer_sample_5,4,3,2,,1.5666666666666667,1.8166666666666669,0.2902744550580695,-0.861253877644823
4-9-2026_16:50:11,transformer_sample_6,4,3,4,,1.7,1.5466666666666666,0.2776444124290752,0.5522651509239452
4-9-2026_17:54:55,transformer_sample_6,4,4,4,,1.7333333333333334,1.3866666666666665,0.24251765876903655,1.4294491725933138
4-9-2026_19:12:25,transformer_sample_6,4,3,2,,1.5666666666666667,1.21,0.36313110240086044,0.9821980665069618
4-13-2026_13:28:24,transformer_sample_6,3,5,2,,1.3,1.8133333333333332,0.28897434633459446,-1.7763975932277407
4-13-2026_13:31:35,transformer_sample_6,2,5,3,,1.0333333333333334,1.7833333333333337,0.3411129207335278,-2.198685404197541
4-13-2026_13:34:18,transformer_sample_6,4,3,4,,1.7,1.6300000000000001,0.29749987031846953,0.23529422021282162
4-13-2026_13:36:05,transformer_sample_6,3,5,2,,1.3,1.8,0.2788866755113585,-1.7928429140015907
4-13-2026_13:45:45,transformer_sample_6,3,5,3,,1.3666666666666665,1.81,0.24039576422389416,-1.844181135073712
4-13-2026_13:48:11,transformer_sample_6,4,4,4,,1.7333333333333334,1.5366666666666666,0.3171828152211355,0.6200419985854324
4-13-2026_13:49:35,transformer_sample_6,4,4,2,,1.6000000000000003,1.8166666666666669,0.2902744550580695,-0.7464200272921788
4-9-2026_16:50:11,transformer_sample_7,3,4,5,,1.4666666666666668,1.5466666666666666,0.2776444124290752,-0.28813833961249263
4-9-2026_17:54:55,transformer_sample_7,3,3,2,,1.2333333333333332,1.3866666666666665,0.24251765876903655,-0.6322563648008883
4-9-2026_19:12:25,transformer_sample_7,3,2,3,,1.2666666666666668,1.21,0.36313110240086044,0.15605016009923747
4-13-2026_13:28:24,transformer_sample_7,4,4,2,,1.6000000000000003,1.8133333333333332,0.28897434633459446,-0.7382431556271118
4-13-2026_13:31:35,transformer_sample_7,4,4,2,,1.6000000000000003,1.7833333333333337,0.3411129207335278,-0.5374564321371765
4-13-2026_13:34:18,transformer_sample_7,3,4,5,,1.4666666666666668,1.6300000000000001,0.29749987031846953,-0.5490198471632517
4-13-2026_13:36:05,transformer_sample_7,4,4,2,,1.6000000000000003,1.8,0.2788866755113585,-0.7171371656006353
4-13-2026_13:45:45,transformer_sample_7,4,4,2,,1.6000000000000003,1.81,0.24039576422389416,-0.8735594850349147
4-13-2026_13:48:11,transformer_sample_7,3,3,2,,1.2333333333333332,1.5366666666666666,0.3171828152211355,-0.956335963919904
4-13-2026_13:49:35,transformer_sample_7,5,4,3,,2.0,1.8166666666666669,0.2902744550580695,0.6315861769395356
4-9-2026_16:50:11,transformer_sample_8,4,5,5,,1.8333333333333333,1.5466666666666666,0.2776444124290752,1.032495716944767
4-9-2026_17:54:55,transformer_sample_8,3,3,3,,1.3,1.3866666666666665,0.24251765876903655,-0.3573622931483273
4-9-2026_19:12:25,transformer_sample_8,2,3,2,,0.8999999999999999,1.21,0.36313110240086044,-0.8536861699546492
4-13-2026_13:28:24,transformer_sample_8,5,4,3,,2.0,1.8133333333333332,0.28897434633459446,0.6459627611737244
4-13-2026_13:31:35,transformer_sample_8,5,4,3,,2.0,1.7833333333333337,0.3411129207335278,0.6351757834348439
4-13-2026_13:34:18,transformer_sample_8,4,5,5,,1.8333333333333333,1.6300000000000001,0.29749987031846953,0.6834736872848637
4-13-2026_13:36:05,transformer_sample_8,5,4,3,,2.0,1.8,0.2788866755113585,0.7171371656006361
4-13-2026_13:45:45,transformer_sample_8,5,4,3,,2.0,1.81,0.24039576422389416,0.7903633436030187
4-13-2026_13:48:11,transformer_sample_8,4,3,4,,1.7,1.5366666666666666,0.3171828152211355,0.5149501344184096
4-13-2026_13:49:35,transformer_sample_8,4,3,4,,1.7,1.8166666666666669,0.2902744550580695,-0.4019184762342512
4-9-2026_16:50:11,transformer_sample_9,4,5,4,,1.7666666666666666,1.5466666666666666,0.2776444124290752,0.7923804339343562
4-9-2026_17:54:55,transformer_sample_9,3,3,2,,1.2333333333333332,1.3866666666666665,0.24251765876903655,-0.6322563648008883
4-9-2026_19:12:25,transformer_sample_9,1,3,3,,0.6333333333333334,1.21,0.36313110240086044,-1.588039864539293
4-13-2026_13:28:24,transformer_sample_9,5,3,5,,2.1,1.8133333333333332,0.28897434633459446,0.992014240373934
4-13-2026_13:31:35,transformer_sample_9,5,3,4,,2.033333333333333,1.7833333333333337,0.3411129207335278,0.7328951347325121
4-13-2026_13:34:18,transformer_sample_9,5,5,3,,2.033333333333333,1.6300000000000001,0.29749987031846953,1.3557428878929267
4-13-2026_13:36:05,transformer_sample_9,5,3,4,,2.033333333333333,1.8,0.2788866755113585,0.836660026534075
4-13-2026_13:45:45,transformer_sample_9,4,4,5,,1.8,1.81,0.24039576422389416,-0.041598070715948406
4-13-2026_13:48:11,transformer_sample_9,3,3,2,,1.2333333333333332,1.5366666666666666,0.3171828152211355,-0.956335963919904
4-13-2026_13:49:35,transformer_sample_9,5,3,4,,2.033333333333333,1.8166666666666669,0.2902744550580695,0.746420027292178
4-9-2026_16:50:11,transformer_sample_10,3,3,2,,1.2333333333333332,1.5466666666666666,0.2776444124290752,-1.128541830148932
4-9-2026_17:54:55,transformer_sample_10,4,4,5,,1.8,1.3866666666666665,0.24251765876903655,1.704343244245874
4-9-2026_19:12:25,transformer_sample_10,3,4,3,,1.3333333333333333,1.21,0.36313110240086044,0.3396385837453979
4-13-2026_13:28:24,transformer_sample_10,5,3,4,,2.033333333333333,1.8133333333333332,0.28897434633459446,0.7613132542404605
4-13-2026_13:31:35,transformer_sample_10,5,3,4,,2.033333333333333,1.7833333333333337,0.3411129207335278,0.7328951347325121
4-13-2026_13:34:18,transformer_sample_10,4,3,3,,1.6333333333333335,1.6300000000000001,0.29749987031846953,0.011204486676801313
4-13-2026_13:36:05,transformer_sample_10,5,3,4,,2.033333333333333,1.8,0.2788866755113585,0.836660026534075
4-13-2026_13:45:45,transformer_sample_10,5,2,4,,2.0,1.81,0.24039576422389416,0.7903633436030187
4-13-2026_13:48:11,transformer_sample_10,4,4,5,,1.8,1.5366666666666666,0.3171828152211355,0.8302257269194772
4-13-2026_13:49:35,transformer_sample_10,5,3,4,,2.033333333333333,1.8166666666666669,0.2902744550580695,0.746420027292178
